,Tarih,"Fon
Kodu",Fon Adı,Fiyat,"Tedavüldeki
Pay
Sayısı","Kişi
Sayısı",Fon Toplam Değer,,,,,,,,,,,,,,,,,,,,,,,,,,
0,06.08.2020,AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,"39,784879","1.327.496,00",383,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,06.08.2020,AAL,ATA PORTFÖY PARA PİYASASI FONU,"0,603351","287.166.047,00",3.191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,06.08.2020,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,"0,031096","2.688.275.624,00",63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,06.08.2020,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),"0,033576","5.518.060.966,00",30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,06.08.2020,ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,"0,020271","330.850.536,00",112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,06.08.2020,ACC,ACTUS PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),"2,359071","6.397.338,00",232,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,06.08.2020,ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,"0,304639","38.659.913,00",89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,06.08.2020,ACK,İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"0,044363","359.566.749,57",64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,06.08.2020,ACN,ACTUS PORTFÖY LİDYA SERBEST (DÖVİZ) FON,"1,491114","63.197.662,00",13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,06.08.2020,ACO,ACTUS PORTFÖY BORÇLANMA ARAÇLARI FONU,"1,637050","1.512.414,00",39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,06.08.2020,ACU,ACTUS PORTFÖY URARTU SERBEST (DÖVİZ) FON,"7,722197","14.327.852,00",70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,06.08.2020,ACY,ACTUS PORTFÖY 2020 YATIRIM DÖNEMLİ DEĞİŞKEN FON,"1,740835","6.412.090,00",9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,06.08.2020,ACZ,ACTUS PORTFÖY HİTİT SERBEST FON,"1,741529","25.559.868,00",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,06.08.2020,ADE,AK PORTFÖY DEĞİŞKEN FON,"0,178338","1.571.889.090,00",29.622,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,06.08.2020,ADP,AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),"0,077890","637.927.209,00",1.772,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,06.08.2020,AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,"0,009005","5.476.752.051,00",569,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,06.08.2020,AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,"0,008850","59.413.251.885,00",10.978,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,06.08.2020,AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,"0,085325","1.168.615.759,00",2.503,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,06.08.2020,AFO,AK PORTFÖY ALTIN FONU,"0,102725","8.708.661.440,00",14.365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,06.08.2020,AFS,AK PORTFÖY GELİŞEN ÜLKELER YABANCI HİSSE SENEDİ FONU,"0,032964","1.670.942.197,00",994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,06.08.2020,AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,"39,784879","1.327.496,00",383,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,06.08.2020,AAL,ATA PORTFÖY PARA PİYASASI FONU,"0,603351","287.166.047,00",3.191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
